author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
ProfessorAlcidesoficial,Professor Alcides,PL,GO,1,0.493,35715.945182323114,2,95,21.037156068304398,4141,3509,628,4,284012,68.58536585365853,2,0,0,0
bira.dopindare,Bira do Pindaré,PSB,MA,0,-0.427,59673.998837547224,2,110,20.511060815510756,3442,2338,1074,30,490459,142.49244625217898,9,7,0,0
delegadomarcelofreitas,Delegado Marcelo Freitas,PSL,MG,1,0.803,78478.31985624439,2,101,20.31518728184637,2226,1599,607,20,515811,231.7210242587601,6,3,1,0
greyce.elias,Greyce Elias,AVANTE,MG,1,0.455,42551.221980413495,2,82,19.8660335169735,919,644,268,7,179373,195.18280739934713,3,3,0,0
jorgebrazoficial,Jorge Braz,REPUBLICANOS,RJ,1,0.55,23973.34703196347,2,86,19.204469783617707,2847,1759,1085,3,451142,158.46224095539165,12,6,0,0
CacaLeaoOficial,Cacá Leão,PP,BA,1,0.51,40552.85163204748,2,92,19.04442392919957,1348,1202,140,6,84336,62.56379821958457,0,0,0,0
dep.ledasadala,Leda Sadala,PP,AP,0,0.51,6078.0344632768365,2,88,19.021319703709445,1819,1438,369,12,192973,106.08741066520066,1,1,0,0
flavionogueirapi,Flávio Nogueira,PT,PI,0,-0.691,25021.771786492376,2,92,18.588849822964814,1836,1611,203,22,104325,56.821895424836605,2,0,0,0
elcionebarbalh0,Elcione Barbalho,MDB,PA,0,0.137,52163.73645598194,2,87,18.53020443852412,3544,2936,607,1,521903,147.26382618510158,12,0,0,0
doutorluizinho,Dr. Luizinho,PP,RJ,0,0.51,71219.52109500805,2,86,18.18567357904693,3106,2148,907,51,775510,249.68126207340632,0,0,0,0
deputadosubtenentegonzaga,Subtenente Gonzaga,PSD,MG,1,0.296,47266.653944020356,2,80,18.164030221178944,1572,869,617,86,176159,112.06043256997455,5,1,0,0
VilsondaFetaemg,Vilson da Fetaemg,PSB,MG,0,-0.427,9195.140049140049,2,79,17.95238637091758,457,309,142,6,153614,336.13566739606125,0,0,0,0
glaustindafokus,Glaustin da Fokus,PSC,GO,1,0.596,23420.00137299771,2,78,17.846597803844343,2185,1743,434,8,324274,148.4091533180778,14,3,0,0
mario.negromontejunior,Mário Negromonte Júnior,PP,BA,0,0.51,28093.37029831388,2,92,17.76334920178258,1542,1354,185,3,77153,50.03437094682231,2,0,0,0
deputadolourivalgomes,Lourival Gomes,NOVO,RJ,1,0.711,43900.18210197711,2,94,17.5379638188506,961,791,169,1,154760,161.04058272632673,9,5,0,0
BrunaFurlanDeputadaEstadual,Bruna Furlan Deputada Estadual,PSDB,SP,0,0.157,183801.96919431278,2,93,16.980642902662744,844,619,192,33,492210,583.1872037914692,2,0,0,0
