"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"erikakokay","author::erikakokay","erikakokay","PT",0,250674.140573319,5442,"author",0
"erosbiondini","author::erosbiondini","erosbiondini","PL",1,372164.337466098,2581,"author",3
"euclydespettersenoficial","author::euclydespettersenoficial","euclydespettersenoficial","PSC",1,40530.0893617021,470,"author",0
"evair.vieirademelo","author::evair.vieirademelo","evair.vieirademelo","PP",1,38467.3453865337,7218,"author",7
"fabioabreu.oficial","author::fabioabreu.oficial","fabioabreu.oficial","PSD",0,39144.305003427,1459,"author",0
"fabiofaria.br","author::fabiofaria.br","fabiofaria.br","NotApplicable",-1,67101.5873996294,1619,"author",0
"fabiogov55","author::fabiogov55","fabiogov55","PSD",-1,19233.9299719888,1428,"author",0
"fabiohenriquese","author::fabiohenriquese","fabiohenriquese","UNIAO",0,13979.3939647946,1193,"author",0
"fabioreispsd","author::fabioreispsd","fabioreispsd","PSD",1,24012.1314814815,541,"author",0
"fabioschiochetoficial","author::fabioschiochetoficial","fabioschiochetoficial","UNIAO",1,24026.2972399151,471,"author",1
"farah.vinicius","author::farah.vinicius","farah.vinicius","NotApplicable",-1,55268.244047619,1008,"author",0
"faustopinato","author::faustopinato","faustopinato","PP",0,130760.099921011,2532,"author",0
"felipecarrerasoficial","author::felipecarrerasoficial","felipecarrerasoficial","PSB",0,122717.54683747,1249,"author",0
"felixjunior1234","author::felixjunior1234","felixjunior1234","PDT",0,27135.7844611529,399,"author",0
"fernandapsol","author::fernandapsol","fernandapsol","PSOL",0,168072.220686226,10055,"author",0
"fernandofilhope","author::fernandofilhope","fernandofilhope","NotApplicable",-1,33162.9482071713,1004,"author",0
"fernandogiacobo","author::fernandogiacobo","fernandogiacobo","NotApplicable",-1,37542.8698884758,1076,"author",0
"fernandomonteirope","author::fernandomonteirope","fernandomonteirope","PP",0,22249.4252252252,555,"author",0
"fernandorodolfotv","author::fernandorodolfotv","fernandorodolfotv","PL",-1,77019.6365030675,652,"author",0
"filipebarrosoficial","author::filipebarrosoficial","filipebarrosoficial","PL",1,865128.550979884,11583,"author",195
"flaviamorais1212","author::flaviamorais1212","flaviamorais1212","PDT",-1,79456.3768639855,2213,"author",0
"flavianomelooficial","author::flavianomelooficial","flavianomelooficial","MDB",-1,11286.0163636364,550,"author",0
"flaviaperes.df","author::flaviaperes.df","flaviaperes.df","NotApplicable",-1,28164.6061381074,783,"author",0
"flavionogueirapi","author::flavionogueirapi","flavionogueirapi","PT",0,25054.695611578,1071,"author",0
"flordeliscantora","author::flordeliscantora","flordeliscantora","PSD",-1,526381.675852067,1379,"author",0
"franciscojrgo","author::franciscojrgo","franciscojrgo","PSD",1,35771.7155172414,1624,"author",1
