Source	Target	Type	Weight	similarity_total	weight_base	multimodal_multiplier	weight_multimodal_bonus	similarity_text	similarity_hashtag	similarity_domain	active_text	active_hashtag	active_domain	n_modalities_above_threshold	share_text	share_hashtag	share_domain	max_share	non_domain_similarity
JandiraFeghaliOficial	PauloTeixeira13	Undirected	2.007850742156304	0.6692835807187679	0.6692835807187679	3	2.007850742156304	0.6803121202981237	0.5843942559247636	0.7431443659334163	1	1	1	3	0.3388260422024756	0.2910546305335233	0.370119327264001	0.370119327264001	0.6323531881114437
fernandapsol	IvanValentePSOL	Undirected	2.0017849517633644	0.6672616505877881	0.6672616505877881	3	2.0017849517633644	0.6439707498513492	0.8404260511838922	0.5173881507281229	1	1	1	3	0.3216982669812149	0.4198383300082081	0.258463403010577	0.4198383300082081	0.7421984005176208
IvanValentePSOL	PauloTeixeira13	Undirected	2.001102961534189	0.6670343205113963	0.6670343205113963	3	2.001102961534189	0.6032656615610551	0.733716995812002	0.664120304161132	1	1	1	3	0.3014665777609706	0.3666562940117194	0.3318771282273101	0.3666562940117194	0.6684913286865286
glauber.braga1	samia.bomfim.psol	Undirected	1.992434970208155	0.664144990069385	0.664144990069385	3	1.992434970208155	0.6431644758473704	0.8995356779493434	0.4497348164114412	1	1	1	3	0.3228032460101708	0.4514755519751626	0.2257212020146666	0.4514755519751626	0.7713500768983569
davidmirandario12	samia.bomfim.psol	Undirected	1.991765411550955	0.6639218038503184	0.6639218038503184	3	1.991765411550955	0.6809833596751628	0.8675922056934894	0.443189846182303	1	1	1	3	0.34189938018096827	0.43558955319839077	0.222511066620641	0.43558955319839077	0.7742877826843261
PauloTeixeira13	TulioGadelhaOficial	Undirected	1.9900456193621312	0.6633485397873771	0.6633485397873771	3	1.9900456193621312	0.47808163282630534	0.6130825257433877	0.8988814607924382	1	1	1	3	0.24023651929122344	0.3080746088322834	0.4516888718764932	0.4516888718764932	0.5455820792848465
AlencarBraga13	PauloTeixeira13	Undirected	1.9826457003501607	0.6608819001167202	0.6608819001167202	3	1.9826457003501607	0.7128867540532505	0.44379912035641417	0.825959825940496	1	1	1	3	0.35956336219191637	0.22384186961797237	0.41659476819011126	0.41659476819011126	0.5783429372048323
AlencarBraga13	ErikaKokay	Undirected	1.9814706844919778	0.6604902281639926	0.6604902281639926	3	1.9814706844919778	0.7277509783979343	0.3938572042357478	0.8598625018582957	1	1	1	3	0.3672781959852814	0.1987701394314231	0.4339516645832955	0.4339516645832955	0.5608040913168411
bohngass13	deputadomarcon	Undirected	1.9786317168195335	0.6595439056065112	0.6595439056065112	3	1.9786317168195335	0.7881871923395694	0.5904719023858878	0.5999726220940763	1	1	1	3	0.39834961991133294	0.29842435930169786	0.30322602078696914	0.39834961991133294	0.6893295473627286
afonsoflorence13	rfalcao13	Undirected	1.97127320768347	0.6570910692278233	0.6570910692278233	3	1.97127320768347	0.696959058637167	0.43932236021813714	0.8349917888281659	1	1	1	3	0.35355782035722705	0.22286223873270422	0.4235799409100688	0.4235799409100688	0.568140709427652
afonsoflorence13	deputadomarcon	Undirected	1.9693898474877676	0.6564632824959226	0.6564632824959226	3	1.9693898474877676	0.47752735180256406	0.7654099920229482	0.7264525036622556	1	1	1	3	0.2424747707579162	0.38865336540621237	0.36887186383587145	0.38865336540621237	0.6214686719127561
pimenta13br	rfalcao13	Undirected	1.9658262979124252	0.6552754326374751	0.6552754326374751	3	1.9658262979124252	0.8433455901622329	0.1596855121575897	0.9627951955926025	1	1	1	3	0.42900310727240193	0.08123073352267438	0.48976615920492367	0.48976615920492367	0.5015155511599113
davidmirandario12	ErikaKokay	Undirected	1.9536603971233713	0.6512201323744571	0.6512201323744571	3	1.9536603971233713	0.5098463557719555	0.7755499794996992	0.6682640618517166	1	1	1	3	0.26096979624640426	0.3969727700073372	0.34205743374625847	0.3969727700073372	0.6426981676358273
DeputadaMariaDoRosario	JandiraFeghaliOficial	Undirected	1.9524167500047565	0.6508055833349188	0.6508055833349188	3	1.9524167500047565	0.6727664831789861	0.5571312732631951	0.7225189935625752	1	1	1	3	0.34458139286980977	0.2853546883685759	0.3700639187616143	0.3700639187616143	0.6149488782210906
afonsoflorence13	guimaraes13pt	Undirected	1.9507070309493142	0.6502356769831047	0.6502356769831047	3	1.9507070309493142	0.6660580145484891	0.6604497556272914	0.6241992607735339	1	1	1	3	0.3414444116830558	0.33856942388005984	0.3199861644368845	0.3414444116830558	0.6632538850878902
ErikaKokay	JandiraFeghaliOficial	Undirected	1.9473221503347977	0.6491073834449326	0.6491073834449326	3	1.9473221503347977	0.7003657348753994	0.5155178271334105	0.7314385883259878	1	1	1	3	0.3596558149122822	0.2647316608835261	0.3756125242041917	0.3756125242041917	0.607941781004405
